MoveIt! version 65805
Experiment unfurl
Running on furkand
Starting at 2023-Nov-10 15:41:24.814913
<<<|
|>>>
0 is the random seed
200 seconds per run
-1 MB per run
25.2278 seconds spent to collect the data
0 enum types
2 planners
RRTGoalRegion1
0 common properties
17 properties for each run
time REAL
success BOOLEAN
length REAL
machine_hostname VARCHAR(128)
machine_process_id BIGINT
machine_thread_id BIGINT
query_finish_time REAL
query_index INT
query_start_time REAL
query_timeout_trial INT
query_trial INT
request_group_name VARCHAR(128)
request_num_planning_attempts INT
request_planner_id VARCHAR(128)
request_planner_type VARCHAR(128)
robowflex_planner_name VARCHAR(128)
robowflex_robot_name VARCHAR(128)
200 runs
0.241157; 1; 6.7553819530412964; furkand; 852748; 140324326147840; 5.0655869999999998; 0; 4.8244300000000004; 0; 71; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.04393; 1; 6.8569312962563957; furkand; 852748; 140324326147840; 5.1096719999999998; 0; 5.0657420000000002; 0; 72; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.060855; 1; 13.613396847117794; furkand; 852748; 140324326147840; 5.1706830000000004; 0; 5.1098280000000003; 0; 73; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.842287; 1; 11.716295514583749; furkand; 852748; 140324334540544; 5.1823750000000004; 0; 4.3400879999999997; 0; 64; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.051771; 1; 6.8970443472529608; furkand; 852748; 140324334540544; 5.2343070000000003; 0; 5.1825359999999998; 0; 75; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.062688; 1; 12.425292817991519; furkand; 852748; 140324334540544; 5.2972869999999999; 0; 5.2345990000000002; 0; 76; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.861009; 1; 7.7369346338000318; furkand; 852748; 140324317755136; 5.3352620000000002; 0; 4.474253; 0; 67; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.054333; 1; 7.0791144053617456; furkand; 852748; 140324334540544; 5.3519059999999996; 0; 5.2975729999999999; 0; 77; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.058527; 1; 7.5156299989414768; furkand; 852748; 140324317755136; 5.3939510000000004; 0; 5.3354239999999997; 0; 78; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.453289; 1; 10.131931739328127; furkand; 852748; 140324326147840; 5.6242770000000002; 0; 5.1709880000000004; 0; 74; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
1.261; 1; 7.6422112915937674; furkand; 852748; 140324309362432; 5.7360129999999998; 0; 4.4750120000000004; 0; 68; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.453457; 1; 10.369698439973915; furkand; 852748; 140324317755136; 5.8477220000000001; 0; 5.3942649999999999; 0; 80; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.25202; 1; 7.1602147410236139; furkand; 852748; 140324326147840; 5.8764560000000001; 0; 5.6244360000000002; 0; 81; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.047813; 1; 6.4847899506400006; furkand; 852748; 140324326147840; 5.9244199999999996; 0; 5.8766069999999999; 0; 84; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.251914; 1; 8.9072278710969019; furkand; 852748; 140324309362432; 5.9880829999999996; 0; 5.7361690000000003; 0; 82; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.255837; 1; 12.739319229850315; furkand; 852748; 140324326147840; 6.1804180000000004; 0; 5.9245809999999999; 0; 85; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.439772; 1; 6.2927774163882031; furkand; 852748; 140324317755136; 6.2876560000000001; 0; 5.8478839999999996; 0; 83; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.044011; 1; 11.776730540686723; furkand; 852748; 140324317755136; 6.3318390000000004; 0; 6.2878280000000002; 0; 88; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.050818; 1; 13.155942037741326; furkand; 852748; 140324317755136; 6.3828149999999999; 0; 6.3319970000000003; 0; 89; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
1.05743; 1; 7.2143022389731861; furkand; 852748; 140324334540544; 6.4096630000000001; 0; 5.3522340000000002; 0; 79; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.042517; 1; 7.7307525149433189; furkand; 852748; 140324317755136; 6.4254930000000003; 0; 6.3829760000000002; 0; 90; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.251063; 1; 12.491381895787411; furkand; 852748; 140324326147840; 6.4318249999999999; 0; 6.1807619999999996; 0; 87; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.444084; 1; 6.8723199362313636; furkand; 852748; 140324309362432; 6.4324940000000002; 0; 5.98841; 0; 86; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.039279; 1; 8.0403566267237849; furkand; 852748; 140324334540544; 6.4492560000000001; 0; 6.4099769999999996; 0; 91; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.066161; 1; 7.1845788764817371; furkand; 852748; 140324309362432; 6.4987880000000002; 0; 6.4326270000000001; 0; 94; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.054353; 1; 7.1051255459192655; furkand; 852748; 140324334540544; 6.5037510000000003; 0; 6.4493980000000004; 0; 95; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.052138; 1; 7.0230368811173465; furkand; 852748; 140324309362432; 6.5510989999999998; 0; 6.4989610000000004; 0; 96; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.256397; 1; 7.1194800241111027; furkand; 852748; 140324326147840; 6.6883739999999996; 0; 6.4319769999999998; 0; 93; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.2575; 1; 6.9220917875280232; furkand; 852748; 140324334540544; 6.7614369999999999; 0; 6.5039369999999996; 0; 97; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.249994; 1; 10.517226277574157; furkand; 852748; 140324309362432; 6.8012750000000004; 0; 6.5512810000000004; 0; 98; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.0535; 1; 7.1726418082700318; furkand; 852748; 140324334540544; 6.815105; 0; 6.7616050000000003; 0; 100; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.060274; 1; 7.9813146244723727; furkand; 852748; 140324334540544; 6.875756; 0; 6.8154820000000003; 0; 102; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.256858; 1; 7.0353605625830893; furkand; 852748; 140324334540544; 7.1329609999999999; 0; 6.8761029999999996; 0; 103; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.451404; 1; 6.5143650652203853; furkand; 852748; 140324326147840; 7.1399509999999999; 0; 6.6885469999999998; 0; 99; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.068462; 1; 13.275895958407519; furkand; 852748; 140324326147840; 7.2085999999999997; 0; 7.1401380000000003; 0; 105; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.454613; 1; 6.9358125109103979; furkand; 852748; 140324309362432; 7.2562600000000002; 0; 6.801647; 0; 101; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.055358; 1; 13.541004097962029; furkand; 852748; 140324326147840; 7.2643370000000003; 0; 7.2089790000000002; 0; 106; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
